CityName,Lat,Lon,Country,ISO,Province,Capital,Population
Malisheve,42.4822,20.7458,Kosovo,XKS,Malishevë,admin,0
Prizren,42.2139,20.7397,Kosovo,XKS,Prizren,admin,0
Zubin Potok,42.9144,20.6897,Kosovo,XKS,Zubin Potok,admin,0
Kamenice,42.5781,21.5803,Kosovo,XKS,Kamenicë,admin,0
Viti,42.3214,21.3583,Kosovo,XKS,Viti,admin,0
Shterpce,42.2394,21.0272,Kosovo,XKS,Shtërpcë,admin,0
Shtime,42.4331,21.0397,Kosovo,XKS,Shtime,admin,0
Vushtrri,42.8231,20.9675,Kosovo,XKS,Vushtrri,admin,0
Dragash,42.0265,20.6533,Kosovo,XKS,Dragash,admin,0
Podujeve,42.9111,21.1899,Kosovo,XKS,Podujevë,admin,0
Fushe Kosove,42.6639,21.0961,Kosovo,XKS,Fushë Kosovë,admin,0
Kacanik,42.2319,21.2594,Kosovo,XKS,Kaçanik,admin,0
Kline,42.6217,20.5778,Kosovo,XKS,Klinë,admin,0
Leposaviq,43.1039,20.8028,Kosovo,XKS,Leposaviq,admin,0
Peje,42.66,20.2922,Kosovo,XKS,Pejë,admin,0
Rahovec,42.3994,20.6547,Kosovo,XKS,Rahovec,admin,0
Gjilan,42.4689,21.4633,Kosovo,XKS,Gjilan,admin,0
Lipjan,42.5217,21.1258,Kosovo,XKS,Lipjan,admin,0
Obiliq,42.6869,21.0703,Kosovo,XKS,Obiliq,admin,0
Gjakove,42.3803,20.4308,Kosovo,XKS,Gjakovë,admin,0
Pristina,42.6666,21.1724,Kosovo,XKS,Prishtinë,primary,0
Decan,42.5378,20.2911,Kosovo,XKS,Deçan,admin,0
Istog,42.7808,20.4875,Kosovo,XKS,Istog,admin,0
Hani i Elezit,42.15,21.2967,Kosovo,XKS,Hani i Elezit,admin,0
Junik,42.4758,20.2772,Kosovo,XKS,Junik,admin,0
Kllokot,42.3714,21.3744,Kosovo,XKS,Kllokot,admin,0
Mamushe,42.3308,20.7269,Kosovo,XKS,Mamushë,admin,0
Partesh,42.4019,21.4336,Kosovo,XKS,Partesh,admin,0
Ranillug,42.4922,21.5989,Kosovo,XKS,Ranillug,admin,0
Ferizaj,42.3706,21.1553,Kosovo,XKS,Ferizaj,admin,0
Zvecan,42.9075,20.8403,Kosovo,XKS,Zveçan,admin,0
Suhareke,42.3586,20.825,Kosovo,XKS,Suharekë,admin,0
Gllogovc,42.6283,20.8939,Kosovo,XKS,Gllogovc,admin,0
Mitrovice,42.8833,20.8667,Kosovo,XKS,,admin,0
Skenderaj,42.7467,20.7886,Kosovo,XKS,Skenderaj ,admin,0
Novoberde,42.6178,21.4197,Kosovo,XKS,Novobërdë,admin,0
Gracanice,42.6011,21.1958,Kosovo,XKS,Graçanicë,admin,0
Longyearbyen,78.2167,15.6333,Svalbard,XSV,,primary,0
Sanaa,15.3547,44.2066,Yemen,YEM,Amānat al ‘Āşimah,primary,2008000
Marib,15.421,45.334,Yemen,YEM,Ma’rib,admin,16794
Al Jabin,14.704,43.599,Yemen,YEM,Raymah,admin,0
Hajjah,15.6917,43.6021,Yemen,YEM,Ḩajjah,admin,208287
Ibb,13.9759,44.1709,Yemen,YEM,Ibb,admin,234837
Al Hudaydah,14.7979,42.953,Yemen,YEM,Al Ḩudaydah,admin,780000
Lahij,13.0582,44.8838,Yemen,YEM,Laḩij,admin,66288
Al Mahwit,15.4701,43.5448,Yemen,YEM,Al Maḩwīt,admin,0
Taizz,13.6045,44.0394,Yemen,YEM,Ta‘izz,admin,751000
Sadah,16.9398,43.8498,Yemen,YEM,Şa‘dah,admin,105542
Dhamar,14.5575,44.3875,Yemen,YEM,Dhamār,admin,191259
`Amran,15.6594,43.9439,Yemen,YEM,‘Amrān,admin,0
Ad Dali`,13.6957,44.7314,Yemen,YEM,Aḑ Ḑāli‘,admin,0
Saywun,15.943,48.7873,Yemen,YEM,Ḩaḑramawt,minor,68747
Al Bayda,13.979,45.574,Yemen,YEM,Al Bayḑā’,admin,37821
Zinjibar,13.1287,45.3807,Yemen,YEM,Abyan,admin,0
Rida,14.4295,44.8341,Yemen,YEM,Al Bayḑā’,minor,45233
'Ataq,14.55,46.8,Yemen,YEM,Shabwah,admin,37315
Al Ghaydah,16.2394,52.1638,Yemen,YEM,Al Mahrah,admin,27404
Sayhut,15.2105,51.2454,Yemen,YEM,Al Mahrah,minor,189
Al Mukalla,14.5412,49.1259,Yemen,YEM,Ḩaḑramawt,admin,258132
Al Hazm,16.1641,44.7769,Yemen,YEM,Al Jawf,admin,0
Zabid,14.1951,43.3155,Yemen,YEM,Al Ḩudaydah,minor,152504
Aden,12.7797,45.0095,Yemen,YEM,‘Adan,admin,1000000
Hadiboh,12.6519,54.0239,Yemen,YEM,Arkhabīl Suquţrá,admin,11396
Ash Shihr,14.7593,49.6092,Yemen,YEM,Ḩaḑramawt,minor,54274
Dzaoudzi,-12.7871,45.275,Mayotte,MYT,,admin,32057
Pretoria,-25.7069,28.2294,South Africa,ZAF,Gauteng,primary,1338000
Lebowakgomo,-24.1996,29.5,South Africa,ZAF,Limpopo,,33308
Potchefstroom,-26.6996,27.1,South Africa,ZAF,North West,,123669
Graaff Reinet,-32.3,24.54,South Africa,ZAF,Eastern Cape,,62896
Rustenburg,-25.65,27.24,South Africa,ZAF,North West,,165976
Brandfort,-28.6996,26.47,South Africa,ZAF,Free State,,12091
Vryheid,-27.76,30.79,South Africa,ZAF,KwaZulu-Natal,,150012
Vereeniging,-26.6496,27.96,South Africa,ZAF,Gauteng,,1074000
Brits,-25.6296,27.78,South Africa,ZAF,North West,,122497
Bethlehem,-28.2196,28.3,South Africa,ZAF,Free State,,83654
Ubomba,-27.5661,32.0833,South Africa,ZAF,KwaZulu-Natal,,564
Polokwane,-23.89,29.45,South Africa,ZAF,Limpopo,admin,220045
Springbok,-29.6667,17.8833,South Africa,ZAF,Northern Cape,,10438
Thohoyandou,-22.95,30.48,South Africa,ZAF,Limpopo,,269707
Pietermaritzburg,-29.61,30.39,South Africa,ZAF,KwaZulu-Natal,admin,750845
Poffader,-29.1329,19.3834,South Africa,ZAF,Northern Cape,,4220
Carnarvon,-30.9496,22.1333,South Africa,ZAF,Northern Cape,,5785
Kroonstad,-27.66,27.21,South Africa,ZAF,Free State,,103992
Alexander Bay,-28.6083,16.5033,South Africa,ZAF,Northern Cape,,1500
Bloemhof,-27.6496,25.59,South Africa,ZAF,North West,,17122
Hermanus,-34.4096,19.2299,South Africa,ZAF,Western Cape,,25153
Bethal,-26.4696,29.45,South Africa,ZAF,Mpumalanga,,101919
Upington,-28.46,21.23,South Africa,ZAF,Northern Cape,,71373
Tzaneen,-23.8195,30.17,South Africa,ZAF,Limpopo,,67245
Vanhynsdorp,-31.6166,18.7333,South Africa,ZAF,Western Cape,,3331
Musina,-22.34,30.03,South Africa,ZAF,Limpopo,,20191
Kimberley,-28.7468,24.77,South Africa,ZAF,Northern Cape,admin,165264
Durban,-29.865,30.98,South Africa,ZAF,KwaZulu-Natal,,2729000
Klerksdorp,-26.88,26.62,South Africa,ZAF,North West,,178921
Welkom,-27.97,26.73,South Africa,ZAF,Free State,,431944
De Aar,-30.65,24,South Africa,ZAF,Northern Cape,,32318
Prieska,-29.6595,22.73,South Africa,ZAF,Northern Cape,,11236
Saldanha,-33.01,17.93,South Africa,ZAF,Western Cape,,68284
Middelburg,-31.5,25.01,South Africa,ZAF,Eastern Cape,,18164
Port St. Johns,-31.6279,29.5283,South Africa,ZAF,Eastern Cape,,5939
Volksrust,-27.3596,29.89,South Africa,ZAF,Mpumalanga,,43378
Ulundi,-28.3296,31.41,South Africa,ZAF,KwaZulu-Natal,,20753
Beaufort West,-32.3496,22.57,South Africa,ZAF,Western Cape,,44737
Komatipoort,-25.4096,31.94,South Africa,ZAF,Mpumalanga,,20508
Nelspruit,-25.4745,30.9703,South Africa,ZAF,Mpumalanga,admin,0
Standerton,-26.9395,29.24,South Africa,ZAF,Mpumalanga,,74021
Johannesburg,-26.17,28.03,South Africa,ZAF,Gauteng,admin,3435000
Kuruman,-27.4496,23.42,South Africa,ZAF,Northern Cape,,10006
Paarl,-33.6996,18.96,South Africa,ZAF,Western Cape,,187865
Worcester,-33.64,19.4399,South Africa,ZAF,Western Cape,,127597
Colesberg,-30.7195,25.1,South Africa,ZAF,Northern Cape,,12423
Umtata,-31.58,28.79,South Africa,ZAF,Eastern Cape,,137772
Aliwal North,-30.6896,26.71,South Africa,ZAF,Eastern Cape,,44436
Middelburg,-25.7596,29.47,South Africa,ZAF,Mpumalanga,,154706
Springs,-26.2696,28.43,South Africa,ZAF,Gauteng,,236083
Benoni,-26.1496,28.3299,South Africa,ZAF,Gauteng,,2986000
Port Shepstone,-30.7195,30.46,South Africa,ZAF,KwaZulu-Natal,,52793
Oudtshoorn,-33.58,22.19,South Africa,ZAF,Western Cape,,76708
Port Elizabeth,-33.97,25.6,South Africa,ZAF,Eastern Cape,,1021000
Port Alfred,-33.5995,26.88,South Africa,ZAF,Eastern Cape,,17959
East London,-32.97,27.87,South Africa,ZAF,Eastern Cape,,338627
Mossel Bay,-34.17,22.13,South Africa,ZAF,Western Cape,,16743
Vryburg,-26.96,24.73,South Africa,ZAF,North West,,49588
Uitenhage,-33.7596,25.39,South Africa,ZAF,Eastern Cape,,228912
Bhisho,-32.87,27.39,South Africa,ZAF,Eastern Cape,admin,160997
Knysna,-34.0329,23.0333,South Africa,ZAF,Western Cape,,63106
Queenstown,-31.8996,26.88,South Africa,ZAF,Eastern Cape,,105309
Cradock,-32.1995,25.61,South Africa,ZAF,Eastern Cape,,32898
Bredasdorp,-34.5295,20.03,South Africa,ZAF,Western Cape,,14936
Swellendam,-34.0196,20.43,South Africa,ZAF,Western Cape,,13674
Ladysmith,-28.5495,29.78,South Africa,ZAF,KwaZulu-Natal,,47375
George,-33.95,22.45,South Africa,ZAF,Western Cape,,174582
Grahamstown,-33.2996,26.52,South Africa,ZAF,Eastern Cape,,91548
Mmabatho,-25.83,25.61,South Africa,ZAF,North West,,104428
Mahikeng,-25.8652,25.6442,South Africa,ZAF,North West,admin,0
Bloemfontein,-29.12,26.2299,South Africa,ZAF,Free State,primary,463064
Cape Town,-33.92,18.435,South Africa,ZAF,Western Cape,primary,3215000
Zambezi,-13.54,23.1099,Zambia,ZMB,North-Western,,7074
Solwezi,-12.1796,26.4,Zambia,ZMB,North-Western,admin,65000
Lusaka,-15.4166,28.2833,Zambia,ZMB,Lusaka,primary,1328000
Kaoma,-14.7796,24.8,Zambia,ZMB,Western,,14212
Chipata,-13.6296,32.64,Zambia,ZMB,Eastern,admin,85963
Senanga,-16.1196,23.27,Zambia,ZMB,Western,,10005
Sesheke,-17.4695,24.3,Zambia,ZMB,Western,,20149
Chililabombwe,-12.3696,27.82,Zambia,ZMB,Copperbelt,,82068
Chingola,-12.5396,27.85,Zambia,ZMB,Copperbelt,,182015
Kasempa,-13.4596,25.82,Zambia,ZMB,North-Western,,5622
Kitwe,-12.81,28.22,Zambia,ZMB,Copperbelt,,404901
Mufulira,-12.55,28.26,Zambia,ZMB,Copperbelt,,153624
Nchelenge,-9.3496,28.73,Zambia,ZMB,Luapula,,23693
Mazabuka,-15.86,27.76,Zambia,ZMB,Southern,,64006
Lukulu,-14.3896,23.24,Zambia,ZMB,Western,,3349
Kafue,-15.78,28.18,Zambia,ZMB,Lusaka,,47554
Lundazi,-12.2895,33.17,Zambia,ZMB,Eastern,,11635
Mansa,-11.2,28.89,Zambia,ZMB,Luapula,admin,42277
Mwinilunga,-11.7396,24.44,Zambia,ZMB,North-Western,,13798
Mumbwa,-14.9796,27.07,Zambia,ZMB,Central,,19086
Kalabo,-14.9896,22.68,Zambia,ZMB,Western,,7731
Nyimba,-14.5495,30.81,Zambia,ZMB,Eastern,,1336
Kapiri Mposhi,-13.9696,28.66,Zambia,ZMB,Central,,37942
Kabwe,-14.44,28.45,Zambia,ZMB,Central,admin,188979
Ndola,-12.9999,28.65,Zambia,ZMB,Copperbelt,admin,396339
Kasama,-10.1996,31.1799,Zambia,ZMB,Northern,admin,200000
Mbala,-8.84,31.37,Zambia,ZMB,Northern,,20570
Kawambwa,-9.7795,29.08,Zambia,ZMB,Luapula,,20589
Luanshya,-13.1333,28.4,Zambia,ZMB,Copperbelt,,151993
Mongu,-15.2796,23.12,Zambia,ZMB,Western,admin,52534
Mpika,-11.83,31.46,Zambia,ZMB,Muchinga,,28445
Chinsali,-10.5496,32.06,Zambia,ZMB,Muchinga,admin,14015
Livingstone,-17.86,25.86,Zambia,ZMB,Southern,,165480
Choma,-16.8095,26.97,Zambia,ZMB,Southern,admin,46746
Plumtree,-20.4795,27.82,Zimbabwe,ZWE,,,2148
Kariba,-16.5296,28.8,Zimbabwe,ZWE,,,25531
Hwange,-18.37,26.5,Zimbabwe,ZWE,,,33989
Chiredzi,-21.0496,31.66,Zimbabwe,ZWE,,,28205
Mazowe,-17.5196,30.97,Zimbabwe,ZWE,Mashonaland Central,,9966
Zvishavane,-20.3296,30.05,Zimbabwe,ZWE,Masvingo,,35896
Shamva,-17.3196,31.57,Zimbabwe,ZWE,Mashonaland Central,,10317
Harare,-17.8178,31.0447,Zimbabwe,ZWE,Harare,primary,1572000
Kwekwe,-18.9296,29.8,Zimbabwe,ZWE,Midlands,,99149
Kadoma,-18.33,29.9099,Zimbabwe,ZWE,Mashonaland West,,79174
Gwanda,-20.9396,29.01,Zimbabwe,ZWE,Matabeleland South,,14450
Chinhoyi,-17.3596,30.18,Zimbabwe,ZWE,,,61739
Beitbridge,-22.2096,29.99,Zimbabwe,ZWE,,,26459
Mutare,-18.97,32.65,Zimbabwe,ZWE,Manicaland,,249365
Gweru,-19.45,29.82,Zimbabwe,ZWE,,,183358
Karoi,-16.8196,29.68,Zimbabwe,ZWE,Mashonaland West,,25030
Masvingo,-20.0596,30.82,Zimbabwe,ZWE,Masvingo,,76311
Bulawayo,-20.17,28.58,Zimbabwe,ZWE,Bulawayo,,699385
Victoria Falls,-17.9296,25.84,Zimbabwe,ZWE,Matabeleland North,,35761
Chitungwiza,-18,31.1,Zimbabwe,ZWE,Harare,,340360
Maqat,47.6482,53.3265,Kazakhstan,KAZ,Atyraū,,14082
Zhangaozen,43.3004,52.8,Kazakhstan,KAZ,Mangghystaū,,8895
Taraz,42.9,71.365,Kazakhstan,KAZ,Zhambyl,admin,358153
Shymkent,42.32,69.595,Kazakhstan,KAZ,Ongtüstik Qazaqstan,admin,465392
Oral,51.2711,51.335,Kazakhstan,KAZ,Batys Qazaqstan,admin,209788
Balqash,46.8532,74.9502,Kazakhstan,KAZ,Qaraghandy,,81364
Zaysan,47.4752,84.8598,Kazakhstan,KAZ,Shyghys Qazaqstan,,17600
Oytal,42.9153,73.2549,Kazakhstan,KAZ,Zhambyl,,22673
Zholymbet,51.7502,71.7099,Kazakhstan,KAZ,Aqmola,,6876
Serebryansk,49.6999,83.4249,Kazakhstan,KAZ,Shyghys Qazaqstan,,701
Chapaev,50.1915,51.1449,Kazakhstan,KAZ,Batys Qazaqstan,,6000
Ridder,50.3554,83.5149,Kazakhstan,KAZ,Shyghys Qazaqstan,,56756
Zhaltyr,51.6324,69.8328,Kazakhstan,KAZ,Aqmola,,694
Atbasar,51.8219,68.3477,Kazakhstan,KAZ,Aqmola,,35819
Aqsay,51.1714,53.0349,Kazakhstan,KAZ,Batys Qazaqstan,,34799
Shemonaikha,50.6316,81.905,Kazakhstan,KAZ,Shyghys Qazaqstan,,27176
Atasu,48.6903,71.6499,Kazakhstan,KAZ,Qaraghandy,,19616
Rudny,52.9527,63.13,Kazakhstan,KAZ,Qostanay,,124000
Makhambet,47.6714,51.5798,Kazakhstan,KAZ,Atyraū,,8905
Fort Shevchenko,44.5171,50.2666,Kazakhstan,KAZ,Mangghystaū,,5213
Qusmuryn,52.458,64.6,Kazakhstan,KAZ,Qostanay,,8049
Oktyabrsk,49.4731,57.4449,Kazakhstan,KAZ,Aqtöbe,,28196
Khromtau,50.2699,58.45,Kazakhstan,KAZ,Aqtöbe,,23715
Algha,49.9032,57.335,Kazakhstan,KAZ,Aqtöbe,,28267
Embi,48.8268,58.1442,Kazakhstan,KAZ,Aqtöbe,,18760
Ushtobe,45.2653,77.97,Kazakhstan,KAZ,Almaty,,20492
Burylbaytal,44.9387,74.0303,Kazakhstan,KAZ,Zhambyl,,100
Zhanibek,49.4276,46.8772,Kazakhstan,KAZ,Batys Qazaqstan,,8212
Esil,51.957,66.3775,Kazakhstan,KAZ,Aqmola,,13504
Derzhavinsk,51.1021,66.3075,Kazakhstan,KAZ,Aqmola,,15848
Saryshaghan,46.1195,73.6191,Kazakhstan,KAZ,Qaraghandy,,4365
Turgay,49.626,63.499,Kazakhstan,KAZ,Qostanay,,5277
Sarqan,45.4203,79.9149,Kazakhstan,KAZ,Almaty,,76919
Arqalyq,50.2418,66.8976,Kazakhstan,KAZ,Qostanay,,55521
Shalqar,47.8363,59.6141,Kazakhstan,KAZ,Aqtöbe,,27256
Shieli,44.167,66.75,Kazakhstan,KAZ,Qyzylorda,,29832
Bayghanin,48.6917,55.874,Kazakhstan,KAZ,Aqtöbe,,7657
Zhezqazghan,47.78,67.77,Kazakhstan,KAZ,Qaraghandy,,104357
Mangyshlak,43.6905,51.1417,Kazakhstan,KAZ,Mangghystaū,,147443
Zhosaly,45.4877,64.078,Kazakhstan,KAZ,Qyzylorda,,20065
Beyneu,45.1834,55.1,Kazakhstan,KAZ,Mangghystaū,,32452
Qazaly,45.7628,62.1075,Kazakhstan,KAZ,Qyzylorda,,6582
Aral,46.8,61.6666,Kazakhstan,KAZ,Qyzylorda,,33017
Ayakoz,47.9647,80.4297,Kazakhstan,KAZ,Shyghys Qazaqstan,,45861
Urzhar,47.1002,81.6048,Kazakhstan,KAZ,Shyghys Qazaqstan,,14826
Qapshaghay,43.8844,77.0687,Kazakhstan,KAZ,Almaty,,42167
Esik,43.3691,77.4438,Kazakhstan,KAZ,Almaty,,35319
Turkistan,43.3016,68.2549,Kazakhstan,KAZ,Ongtüstik Qazaqstan,,97360
Qaratau,43.1854,70.46,Kazakhstan,KAZ,Zhambyl,,37881
Sharbaqty,52.4999,78.1499,Kazakhstan,KAZ,Pavlodar,,107
Oostanay,53.2209,63.6283,Kazakhstan,KAZ,Qostanay,admin,236901
Kachiry,53.0804,76.09,Kazakhstan,KAZ,Pavlodar,,8931
Kishkenekol,53.6368,72.3414,Kazakhstan,KAZ,Soltüstik Qazaqstan,,6779
Bulaevo,54.9053,70.44,Kazakhstan,KAZ,Soltüstik Qazaqstan,,9886
Shonzhy,43.5421,79.4703,Kazakhstan,KAZ,Almaty,,3902
Qyzylorda,44.8,65.465,Kazakhstan,KAZ,Qyzylorda,admin,300000
Qaraghandy,49.885,73.115,Kazakhstan,KAZ,Qaraghandy,admin,451800
Ertis,53.3453,75.4499,Kazakhstan,KAZ,Pavlodar,,9216
Tayynsha,53.8481,69.7638,Kazakhstan,KAZ,Soltüstik Qazaqstan,,13148
Qulan,42.9204,72.705,Kazakhstan,KAZ,Zhambyl,,13128
Shu,43.5953,73.7448,Kazakhstan,KAZ,Zhambyl,,42439
Kentau,43.5165,68.5199,Kazakhstan,KAZ,Ongtüstik Qazaqstan,,57408
Oskemen,49.99,82.6149,Kazakhstan,KAZ,Shyghys Qazaqstan,admin,319067
Aqtau,43.6232,51.2365,Kazakhstan,KAZ,Mangghystaū,admin,4479
Taldyqorghan,45,78.4,Kazakhstan,KAZ,Almaty,admin,88380
Astana,51.1811,71.4278,Kazakhstan,KAZ,Astana,primary,345604
Aqtobe,50.28,57.17,Kazakhstan,KAZ,Aqtöbe,admin,262457
Kokshetau,53.3,69.42,Kazakhstan,KAZ,Aqmola,admin,128873
Petropavlovsk,54.88,69.22,Kazakhstan,KAZ,Soltüstik Qazaqstan,admin,228238
Pavlodar,52.3,76.95,Kazakhstan,KAZ,Pavlodar,admin,329002
Otar,43.5346,75.2139,Kazakhstan,KAZ,Zhambyl,,11238
Almaty,43.325,76.915,Kazakhstan,KAZ,Almaty,admin,1209000
Bestobe,52.4997,73.0997,Kazakhstan,KAZ,Aqmola,,7189
Arys,42.4369,68.8048,Kazakhstan,KAZ,Ongtüstik Qazaqstan,,42648
Lenger,42.1899,69.8799,Kazakhstan,KAZ,Ongtüstik Qazaqstan,,23058
Aqsu,52.4502,71.9597,Kazakhstan,KAZ,Aqmola,,8543
Temirtau,50.065,72.965,Kazakhstan,KAZ,Qaraghandy,,170600
Makinsk,52.6404,70.41,Kazakhstan,KAZ,Aqmola,,23020
Osakarovka,50.5799,72.5699,Kazakhstan,KAZ,Qaraghandy,,7305
Qarqaraly,49.4249,75.4649,Kazakhstan,KAZ,Qaraghandy,,8195
Ekibastuz,51.73,75.3199,Kazakhstan,KAZ,Pavlodar,,127868
Zyryanovsk,49.7453,84.2548,Kazakhstan,KAZ,Shyghys Qazaqstan,,49658
Komsomolets,53.7506,62.0502,Kazakhstan,KAZ,Qostanay,,9838
Baykonur,45.6914,63.2413,Kazakhstan,KAZ,Qyzylorda,,36175
Erymentau,51.6303,73.1049,Kazakhstan,KAZ,Aqmola,,25141
Qarazhal,48.0253,70.7999,Kazakhstan,KAZ,Qaraghandy,,22170
Tobol,52.698,62.5749,Kazakhstan,KAZ,Qostanay,,7155
Shar,49.6003,81.0549,Kazakhstan,KAZ,Shyghys Qazaqstan,,9087
Semey,50.435,80.275,Kazakhstan,KAZ,Shyghys Qazaqstan,,311353
Boralday,43.3341,76.8288,Kazakhstan,KAZ,Almaty,,20996
Zhetiqara,52.193,61.2399,Kazakhstan,KAZ,Qostanay,,46740
Aqadyr,48.2749,72.8599,Kazakhstan,KAZ,Qaraghandy,,9710
Zharkent,44.1616,79.9801,Kazakhstan,KAZ,Almaty,,36496
Qulsary,46.9833,54.0165,Kazakhstan,KAZ,Atyraū,,37103
Balyqshy,47.0666,51.8666,Kazakhstan,KAZ,Atyraū,,31624
Atyrau,47.1127,51.92,Kazakhstan,KAZ,Atyraū,admin,182753
Xiangkhoang,19.3337,103.3666,Laos,LAO,Xiangkhouang,,5189
Muang Phonsavan,19.45,103.2167,Laos,LAO,Xiangkhouang,admin,0
Vientiane,17.9667,102.6,Laos,LAO,Viangchan,primary,754000
Ban Houayxay,20.2775,100.4128,Laos,LAO,Bokèo,admin,6347
Muang Phon-Hong,18.4957,102.4142,Laos,LAO,Viangchan,admin,0
Louang Namtha,20.95,101.4167,Laos,LAO,Louangnamtha,admin,3225
Phongsali,21.6833,102.1,Laos,LAO,Phôngsali,admin,6000
Thakhek,17.4112,104.8361,Laos,LAO,Khammouan,admin,76928
Muang Pakxan,18.3826,103.6586,Laos,LAO,Bolikhamxai,admin,0
Louangphrabang,19.8845,102.1416,Laos,LAO,Louangphabang,admin,107142
Xaignabouri,19.2505,101.7501,Laos,LAO,Xaignabouli,admin,16200
Savannakhet,16.5376,104.773,Laos,LAO,Savannakhét,admin,84898
Lamam,15.4171,106.6946,Laos,LAO,Xékong,admin,0
Pakxe,15.1221,105.8183,Laos,LAO,Champasak,admin,102775
Attapu,14.808,106.839,Laos,LAO,Attapu,admin,4297
Xam Nua,20.4167,104.0333,Laos,LAO,Houaphan,admin,38992
Muang Xai,20.6923,101.9847,Laos,LAO,Oudômxai,admin,0
Saravan,15.716,106.427,Laos,LAO,Salavan,,5521
Champasak,14.8833,105.8667,Laos,LAO,Champasak,,12994
Beirut,33.872,35.5097,Lebanon,LBN,Beyrouth,primary,1846000
Zahle,33.8501,35.9042,Lebanon,LBN,Béqaa,admin,78145
Baalbek,34.0058,36.2181,Lebanon,LBN,Baalbek-Hermel,admin,0
B'abda,33.8333,35.5333,Lebanon,LBN,Mont-Liban,admin,9000
Halba,34.5428,36.0797,Lebanon,LBN,Aakkâr,admin,0
Saida,33.563,35.3688,Lebanon,LBN,Liban-Sud,admin,173894
Nabatiye et Tahta,33.3833,35.45,Lebanon,LBN,Nabatîyé,admin,80000
Trablous,34.42,35.87,Lebanon,LBN,Liban-Nord,admin,530000
Castries,14.002,-61,Saint Lucia,LCA,Castries,primary,37963
Gamprin,47.2197,9.5113,Liechtenstein,LIE,Gamprin,admin,0
Triesenberg,47.1182,9.5444,Liechtenstein,LIE,Triesenberg,admin,0
Schaan,47.1661,9.5096,Liechtenstein,LIE,Schaan,admin,0
Ruggell,47.2408,9.5247,Liechtenstein,LIE,Ruggell,admin,0
Mauren,47.2205,9.5426,Liechtenstein,LIE,Mauren,admin,0
Eschen,47.2109,9.5216,Liechtenstein,LIE,Eschen,admin,0
Triesen,47.1101,9.524,Liechtenstein,LIE,Triesen,admin,0
Balzers,47.0667,9.5025,Liechtenstein,LIE,Balzers,admin,0
Vaduz,47.1337,9.5167,Liechtenstein,LIE,Vaduz,primary,36281
Planken,47.1844,9.5436,Liechtenstein,LIE,Planken,admin,0
Schellenberg,47.2325,9.5463,Liechtenstein,LIE,Schellenberg,admin,0
Colombo,6.932,79.8578,Sri Lanka,LKA,Western,primary,217000
Ratnapura,6.693,80.386,Sri Lanka,LKA,Sabaragamuwa,,47832
Matara,5.949,80.5428,Sri Lanka,LKA,Southern,,68244
Sri Jawewardenepura Kotte,6.9,79.95,Sri Lanka,LKA,Western,primary,115826
Moratuwa,6.7804,79.88,Sri Lanka,LKA,Western,,200000
Anuradhapura,8.35,80.3833,Sri Lanka,LKA,North Central,,118302
Galle,6.03,80.24,Sri Lanka,LKA,Southern,,99478
Puttalan,8.033,79.826,Sri Lanka,LKA,North Western,,45661
Kandy,7.28,80.67,Sri Lanka,LKA,Central,,111701
Badulla,6.9837,81.0499,Sri Lanka,LKA,Uva,,47587
Trincomalee,8.569,81.233,Sri Lanka,LKA,Eastern,,108420
Kilinochchi,9.4004,80.3999,Sri Lanka,LKA,Northern,,103717
Batticaloa,7.717,81.7,Sri Lanka,LKA,Eastern,,129222
Jaffna,9.675,80.005,Sri Lanka,LKA,Northern,,250000
Bopolu,7.0667,-10.4875,Liberia,LBR,Gbarpolu,admin,0
Voinjama,8.4167,-9.75,Liberia,LBR,Lofa,admin,26594
Robertsport,6.7533,-11.3686,Liberia,LBR,Grand Cape Mount,admin,11969
Buchanan,5.9161,-10.0525,Liberia,LBR,Grand Bassa,,48315
Monrovia,6.3106,-10.8048,Liberia,LBR,Montserrado,primary,1041000
Tubmanburg,6.8706,-10.8211,Liberia,LBR,Bomi,admin,0
Buchanan,5.8811,-10.0447,Liberia,LBR,Grand Bassa,admin,0
Zwedru,6.0704,-8.13,Liberia,LBR,Grand Gedeh,admin,25678
Barclayville,4.8,-8.1667,Liberia,LBR,Grand Kru,admin,2733
Rivercess,5.465,-9.578,Liberia,LBR,River Cess,admin,2578
Fish Town,5.1974,-7.8758,Liberia,LBR,River Gee,admin,0
Gbarnga,7.0104,-9.49,Liberia,LBR,Bong,admin,45835
Kakata,6.526,-10.349,Liberia,LBR,Margibi,admin,33945
Sanniquellie,7.371,-8.685,Liberia,LBR,Nimba,admin,11415
Greenville,5.0111,-9.0388,Liberia,LBR,Sinoe,admin,10374
Bensonville,6.4333,-10.6,Liberia,LBR,Montserrado,admin,4089
Harper,4.3754,-7.717,Liberia,LBR,Maryland,admin,32661
Maseru,-29.3167,27.4833,Lesotho,LSO,Maseru,primary,361324
Mokhotlong,-29.291,29.078,Lesotho,LSO,Mokhotlong,admin,8809
Thaba-Tseka,-29.522,28.6084,Lesotho,LSO,Thaba-Tseka,admin,0
Moyeni,-30.411,27.716,Lesotho,LSO,Quthing,admin,24130
Qacha's Nek,-30.1154,28.6894,Lesotho,LSO,Qacha’s Nek,admin,0
Mafetang,-29.8166,27.25,Lesotho,LSO,Mafeteng,admin,57059
Hlotse,-28.878,28.056,Lesotho,LSO,Leribe,admin,47675
